Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Feb 18,University of Delaware,Rowan University,7,2,Win,-2.99,-1.22,-1.77,0.031,99.1,9.99,3.22,2.969,W2
Feb 18,Adrian College,Michigan State University,4,1,Win,-4.3,-2.59,-1.71,0.194,94.1,8.3,3.59,2.806,W2
Feb 18,Sacred Heart University,University of Maryland,1,6,Loss,-3.44,1.19,-4.63,-1.353,44.8,4.44,4.81,1.353,W2
Feb 18,Dakota College at Bottineau,Assiniboine Community College,2,4,Loss,-3.14,-4.91,1.77,-0.36,11.2,5.14,8.91,0.36,W2
Feb 18,Providence College,Merrimack College,4,0,Win,-4.61,-1.87,-2.73,0.026,99.3,8.61,1.87,2.974,W2
Feb 18,Assumption University,Boston College,3,3,Tie,-2.82,-1.94,-0.88,-0.33,61.5,5.82,4.94,1.83,W2
Feb 18,Villanova University,West Virginia University ,6,1,Win,-4.21,-1.94,-2.27,0.016,99.5,10.21,2.94,2.984,W2
Feb 23,Liberty University,University of Maryland,0,1,Loss,-7.02,-2.54,-4.48,-2.615,88,7.02,3.54,2.615,W2
Feb 23,Adrian College,Miami University,3,2,Win,-5.46,-1.11,-4.35,0.117,96.5,8.46,3.11,2.883,W2
Feb 23,United States Naval Academy,Rowan University,6,0,Win,-3.82,-3.38,-0.44,0.045,98.7,9.82,3.38,2.955,W2
Feb 23,Northern Michigan University,Michigan State University,3,4,Loss,-4.74,0.05,-4.79,-2.657,89.4,7.74,3.95,2.657,W2
Feb 23,Dakota College at Bottineau,Lake Region State College,8,3,Win,-1.43,-0.72,-0.72,0.091,97.3,9.43,3.72,2.909,W2
Feb 23,The Ohio State University,University at Buffalo,10,1,Win,-0.7,-2,1.29,0.007,99.8,10.7,3,2.993,W2
Feb 23,Brockport State University,University of Pittsburgh,0,4,Loss,-4.52,-2.97,-1.55,-0.664,21.2,4.52,6.97,0.664,W2
Feb 24,Northern Michigan University,Miami University,9,1,Win,1.09,-2.43,3.51,0.218,93.4,7.91,3.43,2.782,W2
